,campaign_id,campaign_goal,campaign_budget,ROI
0,32348622201,Revenues,480,3.082101771248767
1,32348622201,Revenues,480,3.195024981151559
2,32348622201,Revenues,480,2.6257204284482327
3,32348622201,Revenues,480,2.7242688033945317
4,32348622201,Revenues,480,2.3336291663501614
5,32348622201,Revenues,480,1.8378346570117092
6,32348622201,Revenues,480,3.5964134869856457
7,32348622201,Revenues,480,2.2385660739448707
8,32348622201,Revenues,480,2.285173953730447
9,32348622201,Revenues,480,2.962452275985389
10,32348622372,Installs,452,2.4756563884934613
11,32348622372,Installs,452,3.643558990058443
12,32348622372,Installs,452,3.0460329888337374
13,32348622372,Installs,452,2.7574717480997792
14,32348622372,Installs,452,3.176678293005938
15,32348622372,Installs,452,3.024170692686739
16,32348622372,Installs,452,2.832310202221529
17,32348622372,Installs,452,2.503052878152984
18,32348622372,Installs,452,2.0397360310540456
19,32348622372,Installs,452,3.2798268002330704
20,32347218253,Clicks,550,2.876951881119486
21,32347218253,Clicks,550,2.5409784895192526
22,32347218253,Clicks,550,3.342889076572175
23,32347218253,Clicks,550,3.107970967632909
24,32347218253,Clicks,550,2.371540291670687
25,32347218253,Clicks,550,2.822619653799813
26,32347218253,Clicks,550,2.562538276672676
27,32347218253,Clicks,550,2.239207915120113
28,32347218253,Clicks,550,3.4270808879823966
29,32347218253,Clicks,550,3.125015423524723
