,campaign_id,campaign_goal,campaign_budget,revenues,clicks,installs,ROI
0,31068621007,Revenues,200.0,199,234,106,0.25778568211516845
1,31068621007,Revenues,200.0,105,561,362,0.3485201432705364
2,31068621007,Revenues,200.0,144,860,582,0.1809098683572783
3,31068621007,Revenues,200.0,217,940,492,0.4180711291972111
4,31068621007,Revenues,200.0,132,125,28,0.18068091909860046
5,31068621007,Revenues,200.0,134,275,132,0.2984281871555254
6,31068621007,Revenues,200.0,215,834,582,0.48560532371405096
7,31068621007,Revenues,200.0,101,612,492,0.4709523023036324
8,31068621007,Revenues,200.0,114,329,128,0.2322739114321207
9,31068621007,Revenues,200.0,78,124,72,0.45706800840265205
10,31068622954,Installs,180.0,277,958,84,0.33902196561469955
11,31068622954,Installs,180.0,259,734,32,0.20834347265748
12,31068622954,Installs,180.0,247,539,92,0.40345916880653876
13,31068622954,Installs,180.0,177,623,412,0.3846322315926448
14,31068622954,Installs,180.0,144,629,38,0.13622137538404464
15,31068622954,Installs,180.0,275,916,182,0.14868318365220826
16,31068622954,Installs,180.0,285,439,122,0.5725982193650853
17,31068622954,Installs,180.0,274,531,192,0.1268620654271348
18,31068622954,Installs,180.0,224,581,132,0.40887045570278946
19,31068622954,Installs,180.0,113,998,58,0.5585626212695655
20,31068623286,Clicks,230.0,298,276,86,0.17863697361233621
21,31068623286,Clicks,230.0,290,365,52,0.5719273001179173
22,31068623286,Clicks,230.0,305,249,107,0.43607008639745515
23,31068623286,Clicks,230.0,161,204,32,0.36679208107397565
24,31068623286,Clicks,230.0,272,493,42,0.30781637140136753
25,31068623286,Clicks,230.0,129,370,15,0.5391824505008024
26,31068623286,Clicks,230.0,67,351,17,0.6334353097715514
27,31068623286,Clicks,230.0,110,251,95,0.4480895374266557
28,31068623286,Clicks,230.0,180,472,39,0.41573432611315964
29,31068623286,Clicks,230.0,286,30,64,0.37245197310226175
