,campaign_id,campaign_goal,campaign_budget,revenues,clicks,installs,ROI
0,32348622185,Revenues,250.0,294,506,77,0.8671706307598438
1,32348622185,Revenues,250.0,319,722,93,1.0757086554120425
2,32348622185,Revenues,250.0,223,388,94,1.012413177129132
3,32348622185,Revenues,250.0,505,666,61,0.9310143484371292
4,32348622185,Revenues,250.0,441,520,73,0.8221357185460525
5,32348622185,Revenues,250.0,354,183,52,0.8030837951137751
6,32348622185,Revenues,250.0,281,552,90,1.1305446438613873
7,32348622185,Revenues,250.0,184,558,39,1.1281405396580901
8,32348622185,Revenues,250.0,351,503,92,1.345535475786195
9,32348622185,Revenues,250.0,417,384,86,1.1787346720653007
10,32348621782,Installs,300.0,516,179,49,1.297895237799609
11,32348621782,Installs,300.0,317,444,55,1.0822202259930926
12,32348621782,Installs,300.0,190,540,40,0.8254851243667765
13,32348621782,Installs,300.0,591,754,70,0.9007037088758543
14,32348621782,Installs,300.0,513,343,60,1.1300627828163872
15,32348621782,Installs,300.0,241,535,109,0.8820215607071282
16,32348621782,Installs,300.0,192,415,51,1.31731558638792
17,32348621782,Installs,300.0,465,583,43,1.3822559615504066
18,32348621782,Installs,300.0,156,612,58,1.3492674113391219
19,32348621782,Installs,300.0,253,674,105,1.3399752056248828
20,32347221756,Clicks,280.0,359,584,166,1.3689952822798035
21,32347221756,Clicks,280.0,463,781,161,1.002680178950446
22,32347221756,Clicks,280.0,307,297,140,1.3858896101037925
23,32347221756,Clicks,280.0,219,740,98,1.0857418434225623
24,32347221756,Clicks,280.0,579,481,141,0.7793427313629433
25,32347221756,Clicks,280.0,547,725,167,1.4735725270777926
26,32347221756,Clicks,280.0,680,915,125,0.7274093891091145
27,32347221756,Clicks,280.0,361,770,187,1.1716490488880102
28,32347221756,Clicks,280.0,729,893,105,1.420823078696075
29,32347221756,Clicks,280.0,346,271,87,0.9944154722162852
