,campaign_id,campaign_goal,campaign_budget,ROI
0,32348622185,Revenues,250,1.3999965655227955
1,32348622185,Revenues,250,1.616806278582502
2,32348622185,Revenues,250,1.3688117685603383
3,32348622185,Revenues,250,1.0800641692052961
4,32348622185,Revenues,250,1.726331398920364
5,32348622185,Revenues,250,0.9937538654003338
6,32348622185,Revenues,250,1.4039611640425362
7,32348622185,Revenues,250,1.5343741989439763
8,32348622185,Revenues,250,1.2481414979691192
9,32348622185,Revenues,250,1.6529021093659133
10,32348621782,Installs,300,1.7307613202102576
11,32348621782,Installs,300,1.3264815042277092
12,32348621782,Installs,300,1.0686596131515544
13,32348621782,Installs,300,1.27491068813616
14,32348621782,Installs,300,0.8307205394061233
15,32348621782,Installs,300,0.9776914149337916
16,32348621782,Installs,300,0.8430373438452031
17,32348621782,Installs,300,1.5740235087124317
18,32348621782,Installs,300,1.0115780432979777
19,32348621782,Installs,300,1.6413635151100698
20,32347221756,Clicks,306,1.7030889911343634
21,32347221756,Clicks,306,1.4160330426919137
22,32347221756,Clicks,306,1.238522356785779
23,32347221756,Clicks,306,1.2693235392251718
24,32347221756,Clicks,306,1.033885023099274
25,32347221756,Clicks,306,1.0613204410354107
26,32347221756,Clicks,306,1.3115634070535818
27,32347221756,Clicks,306,1.3272639247600235
28,32347221756,Clicks,306,0.9887223549859763
29,32347221756,Clicks,306,1.5177806742265774
